Age,Education,Sex,Group_ID
25, 11th, Male,1
38, HS-grad, Male,1
28, Assoc-acdm, Male,1
44, Some-college, Male,1
18, Some-college, Female,1
34, 10th, Male,2
29, HS-grad, Male,2
63, Prof-school, Male,2
24, Some-college, Female,2
55, 7th-8th, Male,2
65, HS-grad, Male,3
36, Bachelors, Male,3
26, HS-grad, Female,3
58, HS-grad, Male,3
48, HS-grad, Male,3
43, Masters, Male,4
20, Some-college, Male,4
43, HS-grad, Female,4
37, HS-grad, Female,4
40, Doctorate, Male,4
34, Bachelors, Male,5
34, Some-college, Female,5
72, 7th-8th, Female,5
25, Bachelors, Male,5
25, Bachelors, Male,5
45, HS-grad, Male,6
22, HS-grad, Male,6
23, HS-grad, Male,6
54, HS-grad, Male,6
32, Some-college, Male,6
46, Some-college, Male,7
56, 11th, Female,7
24, Bachelors, Male,7
23, Some-college, Male,7
26, HS-grad, Female,7
65, HS-grad, Male,8
36, Bachelors, Male,8
22, 5th-6th, Male,8
17, 10th, Male,8
20, HS-grad, Male,8
65, Masters, Male,9
44, Assoc-voc, Male,9
36, HS-grad, Male,9
29, 11th, Male,9
20, Some-college, Male,9
28, Assoc-voc, Female,10
39, 7th-8th, Male,10
54, Some-college, Male,10
52, 11th, Female,10
56, HS-grad, Female,10
18, Some-college, Male,11
39, HS-grad, Male,11
21, Some-college, Female,11
22, HS-grad, Male,11
38, 9th, Male,11
21, Some-college, Female,12
63, HS-grad, Male,12
34, Bachelors, Male,12
42, HS-grad, Male,12
33, HS-grad, Male,12
30, Bachelors, Female,13
39, Some-college, Male,13
26, Masters, Female,13
33, HS-grad, Female,13
47, HS-grad, Female,13
41, Bachelors, Female,14
41, Assoc-acdm, Male,14
19, Some-college, Male,14
46, HS-grad, Male,14
43, HS-grad, Male,14
55, Some-college, Male,15
46, Assoc-voc, Male,15
30, HS-grad, Male,15
21, Some-college, Female,15
46, Some-college, Male,15
17, 10th, Male,16
41, HS-grad, Male,16
69, HS-grad, Male,16
50, HS-grad, Male,16
20, Some-college, Female,16
45, Some-college, Male,17
23, Bachelors, Male,17
24, Some-college, Male,17
44, HS-grad, Male,17
31, Some-college, Male,17
43, HS-grad, Female,18
20, 11th, Female,18
55, HS-grad, Male,18
24, Some-college, Male,18
41, Masters, Female,18
59, Bachelors, Female,19
49, 7th-8th, Male,19
33, Masters, Female,19
59, Bachelors, Male,19
34, Masters, Male,19
20, HS-grad, Male,20
25, Bachelors, Female,20
49, 10th, Male,20
59, HS-grad, Male,20
20, HS-grad, Female,20
51, Some-college, Female,21
33, Some-college, Female,21
22, Some-college, Male,21
58, 9th, Female,21
52, HS-grad, Female,21
36, 10th, Female,22
41, HS-grad, Male,22
28, HS-grad, Male,22
19, Some-college, Male,22
18, HS-grad, Female,22
18, HS-grad, Female,23
28, Some-college, Male,23
29, Assoc-voc, Male,23
20, HS-grad, Female,23
40, Some-college, Male,23
26, HS-grad, Male,24
46, HS-grad, Male,24
23, 11th, Female,24
44, HS-grad, Female,24
43, Bachelors, Female,24
31, Bachelors, Female,25
18, Some-college, Female,25
19, Some-college, Male,25
41, Some-college, Female,25
41, HS-grad, Female,25
69, HS-grad, Female,26
48, Doctorate, Female,26
28, HS-grad, Male,26
27, HS-grad, Male,26
41, Masters, Male,26
41, Some-college, Male,27
24, HS-grad, Female,27
20, HS-grad, Female,27
42, Doctorate, Male,27
57, HS-grad, Male,27
30, Assoc-acdm, Female,28
36, HS-grad, Male,28
49, 7th-8th, Male,28
33, HS-grad, Female,28
23, 10th, Male,28
46, Masters, Male,29
18, Some-college, Female,29
40, HS-grad, Male,29
43, HS-grad, Male,29
34, Masters, Female,29
47, HS-grad, Female,30
44, Assoc-voc, Female,30
33, HS-grad, Male,30
55, Bachelors, Male,30
19, HS-grad, Male,30
28, Some-college, Male,31
27, 11th, Female,31
50, 7th-8th, Male,31
22, 11th, Male,31
40, Bachelors, Male,31
25, Some-college, Female,32
26, HS-grad, Male,32
22, Bachelors, Male,32
42, Some-college, Female,32
38, Bachelors, Male,32
55, 11th, Male,33
32, HS-grad, Male,33
22, HS-grad, Male,33
29, Bachelors, Male,33
46, Masters, Male,33
31, Some-college, Male,34
58, Doctorate, Male,34
42, HS-grad, Male,34
18, HS-grad, Male,34
58, HS-grad, Male,34
54, HS-grad, Male,35
34, Masters, Male,35
26, Bachelors, Female,35
61, 12th, Male,35
48, Masters, Female,35
36, Some-college, Male,36
24, Assoc-voc, Male,36
